english_title,japanese_title,producer,serial,date,category
Mahjong Taikai 2,麻雀大会II,光栄 / Koei,SHVC-AIQJ-JPN,1994-09-30,Table Game / Mahjong
Human Grand Prix 3 - F1 Triple Battle,ヒューマングランプリ3 F1トリプルバトル,ヒューマン / Human,SHVC-AGXJ-JPN,1994-09-30,Sports / Racing (競馬)
Keiba Eight Special 2 - Hi Baken Kounyuu Jutsu,競馬エイトスペシャル2 ○秘 馬券購入術,イマジニア / Imagineer,SHVC-82,1994-09-30,Sports / Horse Racing (競馬)
The Incredible Crash Dummies - Dr. Sabu o Sukuidase,クラッシュ・ダミー 〜Dr.サブを救い出せ〜,アクレイムジャパン / Acclaim Japan / Ljn / Gray Matter,SHVC-C7,1994-09-30,Action / Platformer
Virtual Bart,バーチャルバート,アクレイムジャパン / Acclaim Japan / Sculptured Software,SHVC-AVBJ-JPN / SNS-AVBE-USA,1994-09-30 / 1994-09-01,Action
Barkley's Power Dunk,バークレーのパワーダンク,デンズ（アイ・ティー・シー） / DEN'Z(ITC),SHVC-I7,1994-09-30,Sports / Basketball
Bike Daisuki - Hashiri ya Tamashii,バイク大好き！走り屋 魂,メサイヤ（日本コンピューターシステム） / 元気 / Masiya (NCS) / Genki,SHVC-ARSJ-JPN,1994-09-30,Sports / Bike Racing (競馬)
Down The World - Mervil's Ambition,ダウン・ザ・ワールド,アスキー / ASCII,SHVC-W9,1994-09-30,RPG
Tiny Toon Adventures - Dotabata Dai Undoukai,タイニー・トゥーン アドベンチャーズ ドタバタ大運動会,コナミ / Konami,SHVC-5Z,1994-09-30,Sports / Various
Civilization - Sekai Shichi Daibunmei,シヴィライゼーション 世界七大文明,アスミック / マイクロプローズ / Asmik / Micro Prose,SHVC-EQ / SNS-EQ,1994-10-07,Strategy / Simulation (占い)
Nosferatu,ノスフェラトゥ,セタ / Seta,SHVC-NS / SNS-NS,1994-10-07 / 1995-10-01,Action / Side Scrolling
Mr. Nutz,ミスターナッツ,ソフエル / Sofel / Ocean,SHVC-ANUJ-JPN / SNS-N8,1994-10-07 / 1994-01-01,Action
Gouketuji Ichizoku,豪血寺一族,アトラス / Atlus,SHVC-AGKJ-JPN / SNS-AGKE-USA,1994-10-14,Fighting / Hand To Hand
UFO Kamen Yakisoban - Kettler no Kuroi Inbou - Shihan Han,UFO仮面ヤキソバン ケトラーの黒い陰謀,デンズ（アイ・ティー・シー） / 電通 / DEN'Z(ITC) / Dentsu,SHVC-Y9,1994-10-14,Action / Beat 'em Up
Pachinko Fan - Shouri Sengen,パチンコファン 勝利宣言,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-APSJ-JPN,1994-10-15,Gambling / Pachinko
Shimono Masaki no Fishing To Bassing,下野正希の フィッシング To バッシング,ナツメ / Natsume,SHVC-ABIJ-JPN,1994-10-16,Sports / Fishing (釣り)
Harapeko Bakka,はらぺこバッカ,魔法株式会社 / Magical Company,SHVC-ABKJ-JPN,1994-10-19,Puzzle
Super Family Circuit,スーパーファミリーサーキット,ナムコ / ゲームスタジオ / Namcot / Game Studio,SHVC-23,1994-10-21,Sports / Formula Racing (競馬)
Demon's Blazon - Makaimura Monshou Hen,デモンズ・ブレイゾン 魔界村 紋章編,カプコン / Capcom,SHVC-3Z / SNS-3Z,1994-10-21,Action / Platformer
Kid Klown in Crazy Chase,キッドクラウンのクレイジーチェイス,ケムコ（コトブキシステム） / Kemco,SHVC-ZI / SNS-ZI,1994-10-21 / 1994-01-01,Action
Funaki Masakatsu no Hybrid Wrestler - Tougi Densho,船木誠勝 ハイブリッド・レスラー 闘技伝承,テクノスジャパン / Technos Japan,SHVC-ZR,1994-10-21,Sports / Wrestling
Hissatsu Pachinko Collection,必殺パチンココレクション,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AHPJ-JPN,1994-10-21,Gambling / Pachinko
Herakles no Eikou IV - Kamigami Kara no Okurimono,ヘラクレスの栄光IV 神々からの贈り物,データイースト / Data East,SHVC-4E,1994-10-21,RPG / Turn Based
Honkaku Mahjong - Tetsuman II,本格麻雀 徹萬II,ナグザット/ギャップス / Naxat Soft / GAPS,SHVC-AOXJ-JPN,1994-10-21,Table Game / Mahjong
Super Rugby,スーパーラグビー,トンキンハウス（東京書籍） / Tonkin House (Tokyo Shoseki),SHVC-I3,1994-10-21,Sports / Rugby
Honkakuha Igo: Gosei,本格派囲碁 碁聖,タイトー / Taito,SHVC-AKWJ-JPN,1994-10-28,Table Game / Igo
Shonen Ninja Sasuke,少年忍者サスケ,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-EO,1994-10-28,Action / Beat 'em Up
Shin Megami Tensei if...,真・女神転生 if...,アトラス / Atlus,SHVC-AMXJ-JPN,1994-10-28,RPG
Tecmo Super Baseball,テクモスーパーベースボール,テクモ / Tecmo,SHVC-ATBJ-JPN,1994-10-28,Sports / Baseball
Dear Boys,ディア・ボーイズ,ユタカ / Yutaka,SHVC-9Y,1994-10-28,Sports / Basketball
Dolucky no Puzzle Tour '94,ドラッキーのパズルツアー'94,"イマジニア, イマジニアズーム / Imagineer, Imagineer-Zoom",SHVC-AZ8J-JPN,1994-10-28,Puzzle
Bakutou Dodgers - Bumps-Shima wa Oosawagi,爆投ドッチャーズ バンプス島は大さわぎ,ビー・ピー・エス / 元気 / Bullet-Proof Software / Genki,SHVC-ABDJ-JPN,1994-10-28,Action
Multi-Play Volleyball,マルチプレイバレーボール,パック・イン・ビデオ / Pack-in-Video,SHVC-A3VJ-JPN,1994-10-28,Sports / Volleyball
Feda - The Emblem Of Justice,フェーダ エンブレム・オブ・ジャスティス,やのまん / マックスエンターテイメント / Yanoman / Max Entertainment,SHVC-63,1994-10-28,RPG
Kagakusha Harley no Haran Banjou,化学者ハリーの波乱万丈,アルトロン / Altron / Electronic Arts,SHVC-HV,1994-10-28,Action / Side Scrolling
Super Casino 2,スーパーカジノ2,ココナッツジャパン / エルステッド / Coconuts Japan / Orested,SHVC-OE,1994-10-28,Gambling / Casino
Illvanian no Shiro - Ruins of Illvanian,イルバニアンの城,日本クラリービジネス / アトリエドゥーブル / Japan Clary Buisness / Atelier Double,SHVC-ARIJ-JPN,1994-10-28,Strategy
Sankyo Fever! Fever!,Sankyo Fever! フィーバー！ パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AFFJ-JPN,1994-10-28,Gambling / Pachinko
Sotsugyou Bangai Hen - Nee Mahjong Shiyo!,卒業番外篇 ねぇ麻雀しよ！,ケイエスエス / ヘッドルーム / KSS / Head Room,SHVC-A2KJ-JPN,1994-10-28,Table Game / Mahjong
Mortal Kombat 2 - Kyuukyoku Shinken,モータルコンバットII 究極神拳,アクレイムジャパン / Acclaim Japan / Sculptured Software / Midway,SHVC-28 / SNS-28,1994-11-11 / 1994-01-01,Fighting / Hand To Hand
Mickey & Minnie Magical Adventure 2 - The Great Circus Mystery,ミッキーとミニー マジカルアドベンチャー2,カプコン / Capcom,SHVC-4C,1994-11-11,Action / Side Scrolling
Jikkyou World Soccer - Perfect Eleven,実況ワールドサッカー パーフェクトイレブン,コナミ / Konami,SHVC-3U / SNS-3U,1994-11-11 / 1995-06-01,Sports / Soccer
GON,ゴン,バンダイ / Bandai,SHVC-AHOJ-JPN,1994-11-11,Action / Platformer
Fire Fighting,ファイヤー・ファイティング,ジャレコ / Jaleco,SHVC-AIFJ-JPN / SNS-AIFE-USA,1994-11-11,Action
Militia,ミリティア,ナムコ / Namcot,SHVC-NG,1994-11-18,Strategy
Panic in Nakayoshi World,パニック イン なかよしワールド,バンダイ / トムクリエイト / Bandai / Tom Create,SHVC-ANAJ-JPN,1994-11-18,Action
Tsuyoshi Shikkarai Shinasai: Taisen Puzzle Dama,ツヨシしっかりしなさい 対戦ぱずるだま,コナミ / Konami,SHVC-ATPJ-JPN,1994-11-18,Puzzle / Matching
Hagane,鋼,"ハドソン / レッド, シーエイプロダクション / Hudson / RED, CAProduction (Computer Artist Production)",SHVC-AHGJ-JPN / SNS-AHGE-USA,1994-11-18 / 1994-01-01,Action / Beat 'em Up
Ultima VII - The Black Gate,ウルティマVII ザ・ブラックゲート,ポニーキャニオン / オリジンシステムズ / Pony Canyon / Origin Systems,SHVC-7I-(R98V5950),1994-11-18,RPG / Turn Based
Dream Basketball - Dunk & Hoop,ドリームバスケットボール ダンクアンドフープ,ヒューマン / Human,SHVC-ADBJ-JPN,1994-11-18,Sports / Basketball
GP-1 Part II,GP-1 - Rapid Stream,アトラス / 元気 / Atlus / Genki,SHVC-AGRJ-JPN / SNS-AGRE-USA,1994-11-18,Sports / Formula Racing (競馬)
Pachinko Maruhi Hisshouhou,パチンコ○秘必勝法,"バップ, パチンコ○秘情報編集部 / VAP (NTV)",SHVC-APKJ-JPN,1994-11-18,Gambling / Pachinko
Super Gomoku Shougi,スーパー五目・将棋 — 定跡研究篇 —,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AGSJ-JPN,1994-11-18,Table Game / Shougi
Nakano Kouichi Kanshuu - Keirin Ou,中野 浩一監修 競輪王,ココナッツ・ジャパン / Coconuts Japan,SHVC-OU,1994-11-18,Sports / Bike Racing (競馬)
Magna Braban - Henreki no Yusha,マグナブラバン〜遍歴の勇者,アスク講談社 / レナール / Ask Kodansha / Lenar,SHVC-AMBJ-JPN,1994-11-18,RPG
Yuujin Janjuu Gakuen 2,遊人 雀獣学園2,バリエ / Varie,SHVC-9U,1994-11-18,Table Game
Hana no Keiji: Kumo no Kanata ni,花の慶次 —雲のかなたに—,四次元 / パック・イン・ビデオ / Yojigen / Pack-in-Video,SHVC-AY4J-JPN,1994-11-18,Fighting / Weapons
Monster Maker Kids - Ousama ni Naritai,モンスターメーカーキッズ 王様になりたい,ソフエル / Sofel,SHVC-AK2J-JPN,1994-11-18,Table Game
Gokujou Parodius - Kako no Eikou o Motomete,極上パロディウス 過去の栄光を求めて,コナミ / Konami,SHVC-AGPJ-JPN,1994-11-25,Shooter / Horizontal
Dai Bakushou Jinsei Gekijou - Ooedo Nikki,大爆笑 人生劇場 大江戸日記,タイトー / Taito,SHVC-AKKJ-JPN,1994-11-25,Table Game
Takeda Nobuhiro no Super League Soccer,武田修宏のスーパーリーグサッカー,ジャレコ / Jaleco,SHVC-ATKJ-JPN,1994-11-25,Sports / Soccer
Battle Soccer 2,バトルサッカー2,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-ABSJ-JPN,1994-11-25,Sports / Soccer
Tadaima Yuusha Boshuuchuu Okawari,ただいま勇者募集中おかわり,ヒューマン / Human,SHVC-ATYJ-JPN,1994-11-25,Table Game
Kamai-tachi no Yoru,かまいたちの夜,チュンソフト / Chun Soft,SHVC-EU,1994-11-25,Sound Novel
Naruhodo! The World,なるほど！ザ・ワールド,トミー / Tomy,SHVC-QV,1994-11-25,Quiz
Nontan to Issho: Kuru Kuru Puzzle,ノンタンといっしょ くるくるぱずる,ビクターエンタテインメント / Victor Entertainment,SHVC-99,1994-11-25,Puzzle / Matching
Ganso Pachisuro Nipponichi,元祖パチスロ日本一,ココナッツジャパン / Coconuts Japan,SHVC-O4,1994-11-25,Gambling / Pachinko
Super Mahjong 3 - Karakuchi,スーパーま〜じゃん3 (麻雀3) 辛口,アイマックス / I'MAX,SHVC-Q8,1994-11-25,Table Game / Mahjong
Zenkoku Koukou Soccer Senshuken,全国高校サッカー,四次元 / パック・イン・ビデオ / Yojigen / Pack-in-Video,SHVC-AY5J-JPN,1994-11-25,Sports / Soccer
Donkey Kong Country,スーパードンキーコング,任天堂 / レア / Nintendo / RARE,SHVC-8X-(G728314) / SNS-8x,1994-11-26 / 1994-11-21,Action / Platformer
Seifuku Densetsu - Pretty Fighter,制服伝説 プリティ・ファイター,イマジニア/元気 / Imagineer / Genki,SHVC-ASFJ-JPN,1994-12-02,Fighting / Hand To Hand
Dokapon 3・2・1 - Arashi o Yobu Yuujou,ドカポン3・2・1 〜嵐を呼ぶ友情〜,アスミック / Asmik,SHVC-AIXJ-JPN,1994-12-02,Table Game
Aretha 2 - Ariel no Fushigi na Bouken,アレサII アリエルの不思議な旅,やのまん / 日本アートメディア / Yanoman / Japan Art Media (JAM),SHVC-AREJ-JPN,1994-12-02,RPG / Turn Based
Street Racer,ストリートレーサー,ユービーアイソフト / UBI Soft / Vivid Image,SHVC-ASRJ-JPN / SNS-ASRE-USA,1994-12-02 / 1994-12-01,Sports / Racing (競馬)
The Last Battle,ザ・ラストバトル,"テイチク / アトリエドゥーブル / Teichiku / Atelier Double, POWWOW",SHVC-3T,1994-12-02,RPG
Super Momotarou Dentetsu 3,スーパー桃太郎電鉄III,ハドソン / アムカス / Hudson / Amccus,SHVC-AMDJ-JPN,1994-12-09,Table Game
Wonder Project J - Kikai no Shounen Pino,ワンダープロジェクトJ 機械の少年ピーノ,エニックス / アルマニック / Enix / Almanic,SHVC-APJJ-JPN,1994-12-09,Adventure
Sangokushi 4,三国志IV,光栄 / Koei,SHVC-AS4J-JPN / SNS-AS4E-USA,1994-12-09,Strategy
Captain Tsubasa V - Hasha no Shougou Campione,キャプテン翼V 覇者の称号カンピオーネ,テクモ / Tecmo,SHVC-AC5J-JPN,1994-12-09,Sports / Soccer
Battle Cross,バトルクロス,イマジニア / Imagineer,SHVC-ABCJ-JPN,1994-12-09,Sports / Racing (競馬)
Sugoro Quest++ Dicenics,すごろクエスト＋＋ −ダイスニクス−,テクノスジャパン / Technos Japan,SHVC-XQ,1994-12-09,RPG
Hai Toride,牌砦 −トリデ−,タカラ / Takara / Metoro,SHVC-ACSJ-JPN,1994-12-09,Puzzle
Vortex - The FX Robot Battle,ヴォルテックス ザ・FXロボットバトル,"パック・イン・ビデオ / Pack-In-Video / Argonaut Software, Electro Brain",SHVC-4V / SNS-4V,1994-12-09,Shooter / Behind
The Lion King,ライオンキング,ヴァージンゲーム / Virgin Games / Westwood Studios,SHVC-ALKJ-JPN / SNS-ALKE-USA,1994-12-09,Action / Platformer
Godzilla - Kaijuu Dai Kessen,ゴジラ 怪獣大決戦,東宝 / アルファ・システム / TOHO / Alfa System,SHVC-AG2J-JPN,1994-12-09,Fighting / Hand To Hand
Wagyan Paradise,ワギャンパラダイス,ナムコ / Namcot,SHVC-AWLJ-JPN,1994-12-16,Action / Side Scrolling
Ganbare Goemon 3 - Shishi Juuroku Hyoue no Karakuri Manjigatame,がんばれゴエモン3 獅子重禄兵衛のからくり卍固め,コナミ / Konami,SHVC-2U,1994-12-16,Action / Side Scrolling
Rockman X2,ロックマンエックス2,カプコン / Capcom,SHVC-ARXJ-JPN / SNS-ARXE-USA,1994-12-16,Action / Platformer
Doraemon 3 - Nobita to Toki no Hougyoku,ドラえもん3 のび太と時の宝玉,エポック社 / Epoch,SHVC-4T,1994-12-16,Action
Bishoujo Senshi Sailor Moon S - Jousai Rantou! Shuyaku Shudatsusen,美少女戦士セーラームーンS 場外乱闘！？主役争奪戦,エンジェル / Angel,SHVC-AQSJ-JPN-(V-941817),1994-12-16,Fighting / Hand To Hand
Umi Tsuri Meijin Suzuki Hen,海釣り名人 スズキ編,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / A Wave,SHVC-AUFJ-JPN,1994-12-16,Sports / Fishing (釣り)
NBA Live '95,NBA Live '95,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / Hitmen Productions,SHVC-ANBJ-JPN / SNS-ANBE-USA,1994-12-16 / 1994-01-01,Sports / Basketball
Mickey no Tokyo Disneyland Daibouken,ミッキーの東京ディズニーランド 大冒険,トミー / Tomy,SHVC-ZJ,1994-12-16,Action / Side Scrolling
Ginga Eiyuu Densetsu - Gionbana,祇園花,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AHFJ-JPN,1994-12-16,Table Game
Super Wrestle Angels,スーパーレッスルエンジェルス,イマジニア / グレイト / Imagineer / Great,SHVC-AWAJ-JPN,1994-12-16,Sports / Wrestling
Super Tetris 3,スーパーテトリス3,ビー・ピー・エス / Bullet-Proof Software / Elorg,SHVC-AT3J-JPN,1994-12-16,Puzzle / Arranging
Ski Paradise with Snowboard,スキーパラダイス WITH スノーボード,"パック・イン・ビデオ / エレクトロブレイン / Pack-in-Video / Loriciel, Electro Brain",SHVC-XS,1994-12-16,Sports / Ski
Newman-Haas Indy Car Featuring Nigel Mansell,ナイジェルマンセル・インディカー,アクレイムジャパン / Acclaim Japan / Gremlin Graphics Software,SHVC-ANMJ-JPN / SNS-ANME-USA,1994-12-16,Sports / Formula Racing (競馬)
Aoki Densetsu Shoot!,蒼き伝説シュート！,ケイエスエス / KSS,SHVC-A3KJ-JPN,1994-12-16,Sports / Soccer
Hanafuda Ou,花札王,ココナッツジャパン / Coconuts Japan,SHVC-IJ,1994-12-16,Table Game
Full Power,フル・パワー,ココナッツジャパン / GXメディア / Coconuts Japan / GX Media / Gremlin Graphics Software / Cybersoft,SHVC-AFTJ-JPN / SNS-AFTE-USA,1994-12-16,Sports / Racing (競馬)
Super Fishing - Big Fight,スーパーフィッシング ビッグファイト,ナグザット / Naxat Soft,SHVC-ANFJ-JPN,1994-12-16,Sports / Fishing (釣り)
Dossun! Ganseki Battle,どっすん！岩石バトル,アイマックス / I'MAX,SHVC-ADGJ-JPN,1994-12-16,Puzzle
Big Ichigeki! Pachi-Slot Daikouryaku,ビッグ一撃！パチスロ大攻略,アスク講談社 / Ask Kodansha,SHVC-APDJ-JPN,1994-12-16,Gambling / Pachinko
Super Snakey,スーパースネーキー,四次元 / Yojigen / Spectrum Holo Byte / J.S.C.Gamos,SHVC-AWSJ-JPN / SNS-AWSE-USA,1994-12-16,Puzzle / Arranging
Super Tsume Shougi 1000,スーパー詰将棋1000,ボトムアップ / Bottom Up,SHVC-AIOJ-JPN,1994-12-16,Table Game / Shougi
Hisshou Pachi-Slot Fun,必勝パチスロファン,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-APNJ-JPN,1994-12-16,Gambling / Pachinko
The Great Battle 4,ザ・グレイトバトルIV,バンプレスト / Banpresto,SHVC-4F,1994-12-17,Action
Tecmo Super Bowl 2 - Special Edition,テクモスーパーボウルII スペシャルエディション,テクモ / Tecmo,SHVC-ASBJ-JPN,1994-12-20,Sports / Football
Ryuuko no Ken 2,龍虎の拳2,ザウルス / エス・エヌ・ケイ / Saurus / SNK,SHVC-AAFJ-JPN,1994-12-21,Fighting
Okamoto Ayako to Match Play Golf - Ko Olina Golf Club In Hawaii,岡本綾子とマッチプレイゴルフ コ・オリナゴルフクラブ in ハワイ,ツクダオリジナル / Tsukuda Original,SHVC-OG,1994-12-21,Sports / Golf
Haou Taikei Ryuu Knight - Lord of Paladin,覇王大系リューナイト ロードオブパラディン,バンダイ / 日本アートメディア / Bandai / Japan Art Media (JAM),SHVC-UR,1994-12-22,Action / RPG
Yuu Yuu Hakusho - Tokubetsu Hen,幽☆遊☆白書 特別篇,ナムコ / Namcot,SHVC-AYYJ-JPN,1994-12-22,Fighting
Daikaijuu Monogatari,大貝獣物語,ハドソン / バースデイ / Hudson / Birthday,SHVC-ADKJ-JPN,1994-12-22,RPG / Turn Based
Albert Odyssey 2 - Jashin no Taidou,アルバートオデッセイ2 邪神の胎動,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AO2J-JPN,1994-12-22,Strategy / RPG
Hashire Hebereke,はしれへべれけ,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AHHJ-JPN,1994-12-22,Action
Super Fire Pro Wrestling Special,スーパーファイヤープロレスリング スペシャル,ヒューマン / Human,SHVC-AP4J-JPN,1994-12-22,Sports / Wrestling
Ultra Baseball Jitsumei Ban 2,ウルトラベースボール 実名版2,カルチャーブレーン / Culture Brain,SHVC-ABJJ-JPN,1994-12-22,Sports / Baseball
Yokoyama Mitsuteru Sangokushi Bangi - Sugoroku Eiyuuki,横山光輝 三国志盤戯 スゴロク英雄記,エンジェル / Angel,SHVC-AYBJ-JPN,1994-12-22,Table Game
Poko Nyan! Henpokorin Adventure,ポコニャン！ へんぽこりんアドベンチャー,東宝 / ヴァンガード / Toho / Vanguard,SHVC-APOJ-JPN,1994-12-22,Action / Side Scrolling
Animal Buranden - Brutal,アニマル武乱伝 ブルータル,ケムコ（コトブキシステム） / Kemco / Eurocom Entertainment / Cybersoft,SHVC-ABLJ-JPN / SNS-ABLE-USA,1994-12-22 / 1994-12-01,Fighting / Hand To Hand
Rise Of The Robots,ライズ オブ ザ ロボッツ,ティーアンドイーソフト / T&E Soft / Mirage,SHVC-AROJ-JPN / SNS-AROE-USA,1994-12-22 / 1994-12-01,Fighting
Super Castles,スーパーキャッスルズ,ビクターエンタテインメント / Victor Entertainment / Quicksilver Software / Interplay,SHVC-AVIJ-JPN,1994-12-22,Strategy
Sun Spo Fishing Keiryuu Ou,サンスポ フィッシング 渓流王,イマジニア/レナール / Imagineer / Lenar / Mamiya-OP,SHVC-IO,1994-12-22,Sports / Fishing (釣り)
Mahjong Club,麻雀倶楽部,ヘクト / 夏システム / Hector / Natsu-System,SHVC-AHMJ-JPN,1994-12-22,Table Game / Mahjong
Ganso Pachinko Ou,元祖パチンコ王,ココナッツジャパン / Coconuts Japan,SHVC-OY,1994-12-22,Gambling / Pachinko
Power Of The Hired,パワー オブ ザ ハイアード,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-ALUJ-JPN,1994-12-22,Strategy / RPG
Battle Jockey,バトルジョッキー,ヴァージンゲーム / ナムコ / Virgin Games / Namco,SHVC-AV2J-JPN,1994-12-22,Sports / Horse Racing (競馬)
Honkaku Shougi - Fuuunji Ryuuou,本格将棋 風雲児 龍王,ヴァージンゲーム / Virgin Games,SHVC-AV3J-JPN,1994-12-22,Table Game / Shougi
Go! Go! Ackman,ゴー!ゴー!アックマン,バンプレスト / Banpresto,SHVC-ACKJ-JPN,1994-12-23,Action / Platformer
JWP Jyoshi Pro Wrestling - Pure Wrestle Queens,JWP女子プロレス ピュア・レッスル・クイーンズ,ジャレコ / Jaleco,SHVC-AJWJ-JPN,1994-12-23,Sports / Wrestling
Super Moero!! Pro Yakyuu,スーパー燃えろ！！プロ野球,ジャレコ / Jaleco,SHVC-AB3J-JPN / SNS-AB3E-USA,1994-12-23,Sports / Baseball
Pachi Slot Shoubushi,ギャンブラー パチスロ勝負師,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AGAJ-JPN,1994-12-23,Gambling / Pachinko
Umihara Kawase,海腹川背,ティー・エヌ・エヌ / TNN,SHVC-ATAJ-JPN,1994-12-23,Action
Lupin Sansei - Densetsu no Hihou o Oe,ルパン三世 伝説の秘宝を追え！,エポック社 / 酒田エス・エー・エス / Epoch / Sakata SAS,SHVC-ALPJ-JPN,1994-12-27,Action / Platformer
Kidou Butoden G Gundam,機動武闘伝Gガンダム,バンダイ / パンドラボックス / Bandai / Pandora Box,SHVC-AGMJ-JPN,1994-12-27,Fighting / Hand To Hand
Dual Orb 2,デュアルオーブII,アイマックス / I'MAX,SHVC-AD2J-JPN,1994-12-29,RPG
Super Zugan 2 - Tsukanpo Fighter,スーパーヅガン2 ツカンポファイター〜明菜コレクション〜,J・ウイング / J-WING,SHVC-AJZJ-JPN,1994-12-30,Table Game / Mahjong
Pac-In-Time,パックインタイム,ナムコ / Namcot,SHVC-APTJ-JPN / SNS-APTE-USA,1995-01-03 / 1995-01-01,Action / Platformer
Takahashi Meijin no Daibouken Shima II,高橋名人の大冒険島II,ハドソン / Hudson,SHVC-AT2J-JPN,1995-01-03,Action / Side Scrolling
X-Men - Mutant Apocalypse,エックス・メン,カプコン / Capcom,SHVC-AXMJ-JPN,1995-01-03,Action / Platformer
Bonkers - Hollywood Daisakusen!,ボンカーズ ハリウッド大作戦！,カプコン / Capcom,SHVC-ABNJ-JPN,1995-01-03,Action / Side Scrolling
Super Chinese Fighter,スーパーチャイニーズファイター,カルチャーブレーン / Culture Brain,SHVC-ACWJ-JPN,1995-01-03,Fighting / Hand To Hand
Yogi Bear,ヨギーベア（クマゴロー）,"マジファクト / Magifact / Empire, Blue Turlle",SHVC-Y8 / SNS-Y8,1995-01-03 / 1994-10-01,Action / Side Scrolling
Jissen! Mahjong Shinan,実戦！麻雀指南,アスク講談社 / Ask Kodansha,SHVC-AJIJ-JPN,1995-01-13,Table Game / Mahjong
Puzzle Bobble,パズルボブル,タイトー / Taito,SHVC-AYKJ-JPN / SNS-AYKE-USA,1995-01-13,Puzzle / Matching
Janyuuki - Gokuu Randa,雀遊記 悟空乱打,ヴァージンゲーム / Virgin Games,SHVC-AV4J-JPN,1995-01-13,Table Game / Mahjong
Galaxy Wars,ギャラクシーウォーズ,イマジニア / Imagineer / Universal,SHVC-AGWJ-JPN,1995-01-13,Shooter / Vertical
Waku Waku Ski Wonder Shoot,わくわくスキー わんだぁシュプール,ヒューマン / Human,SHVC-ASKJ-JPN,1995-01-13,Sports / Ski
Stardust Suplex,スターダストスープレックス,バリエ / Varie,SHVC-AVLJ-JPN,1995-01-20,Sports / Wrestling
Derby Stallion III,ダービースタリオンIII,アスキー / パリティビット / ASCII / Parity Bit,SHVC-AD3J-JPN,1995-01-20,Sports / Horse Racing (競馬)
Michael Andretti's Indy Car Challenge,マイケル・アンドレッティー インディカーチャレンジ,ビー・ピー・エス / 元気 / Bullet-Proof Software / Genki,SHVC-AMAJ-JPN / SNS-AMAE-USA,1995-01-20 / 1994-01-01,Sports / Formula Racing (競馬)
Koutetsu no Kishi 3 - Gekitotsu Europe Sensen,鋼鉄の騎士3 −激突ヨーロッパ戦線−,アスミック / ジェネラルサポート / デュアル / Asmik / General Support / DUAL,SHVC-APZJ-JPN,1995-01-27,Strategy
Kiteretsu Daihyakka: Cho jikuu Sugoroku,キテレツ大百科 超時空すごろく,ビデオシステム / Video System,SHVC-AVKJ-JPN,1995-01-27,Table Game
Wolverine - Adamantium Rage,ウルヴァリン,"アクレイムジャパン / Acclaim Japan / LJN, Bits / Marvel Software",SHVC-AWXJ-JPN / SNS-AWXE-USA,1995-01-27 / 1994-01-01,Action / Platformer
Miracle Casino Paradise,みらくるカジノパラダイス,カロッツェリアジャパン / エインシャント / Carrozzeria Japan / Ancient,SHVC-ACPJ-JPN,1995-01-27,Gambling / Casino
Pachinko Monogatari 2 - Nagoya Shachihoko no Teiou,パチンコ物語2 名古屋シャチホコの帝王,ケイエスエス / KSS,SHVC-A2PJ-JPN,1995-01-27,Gambling / Pachinko
Houkago in Beppin Jogakuin,放課後 in Beppin 女学院,イマジニア / Imagineer,SHVC-ABEJ-JPN,1995-02-03,Strategy
Kidou Senshi Gundam - Cross Dimension 0079,機動戦士ガンダム クロス・ディメンション0079,バンダイ / Bandai,SHVC-78,1995-02-10,Strategy
Saibara Reiko no Mahjong Hourouki,さいばらりえこの まあじゃんほうろうき,タイトー / Taito,SHVC-AJNJ-JPN,1995-02-10,Table Game / Mahjong
The Shinri Game 2 - Magical Trip,ザ・心理ゲーム2 〜マジカルトリップ〜,ヴィジット / Visit,SHVC-ASIJ-JPN,1995-02-10,Strategy / Simulation (占い)
Dharma Doujou,だるま道場,デンズ（アイ・ティー・シー） / DEN'Z(ITC) / Metro,SHVC-ADRJ-JPN,1995-02-10,Puzzle / Matching
Iron Commando - Kotetsu no Senshi,鋼鉄の戦士 アイアンコマンドー,"パック・イン・ビデオ, ポッポ / アーケードゾーン / Pack-in-Video, Poppo / Arcade Zone",SHVC-AICJ-JPN,1995-02-10,Action / Beat 'em Up
Jammes,ジャムズ,カロッツェリアジャパン / Carrozzeria Japan,SHVC-AJMJ-JPN,1995-02-10,Puzzle / Puyo
Teitoku no Ketsudan II,提督の決断II,光栄 / Koei,SHVC-ATEJ-JPN / SNS-ATEE-USA,1995-02-17,Strategy
